categories,count
Single-player,11515
Steam Achievements,8221
Steam Cloud,5927
Steam Trading Cards,5909
Full controller support,3975
Multi-player,3480
Partial Controller Support,2061
Co-op,1895
Steam Leaderboards,1711
PvP,1689
Remote Play Together,1466
Online PvP,1360
Remote Play on TV,1221
Shared/Split Screen,1198
Online Co-op,1130
Stats,854
Steam Workshop,842
Shared/Split Screen PvP,757
Shared/Split Screen Co-op,670
Includes level editor,654
Remote Play on Tablet,642
Cross-Platform Multiplayer,595
Remote Play on Phone,498
Captions available,430
Family Sharing,303
In-App Purchases,190
LAN Co-op,139
LAN PvP,127
MMO,98
VR Support,93
Valve Anti-Cheat enabled,87
Commentary available,82
Steam Turn Notifications,38
SteamVR Collectibles,28
HDR available,20
Includes Source SDK,13
Tracked Controller Support,7
VR Only,5
VR Supported,4
Steam Timeline,2
