publishers,count
Inc.,202
Square Enix,129
Electronic Arts,119
SEGA,115
THQ Nordic,113
Ubisoft,113
Ltd.,106
Devolver Digital,95
LLC,89
Fulqrum Publishing,76
Kagura Games,71
2K,70
LTD.,69
Disney,63
Paradox Interactive,61
BANDAI NAMCO Entertainment,61
PlayWay S.A.,61
PLAYISM,59
Sekai Project,56
KOEI TECMO GAMES CO.,55
Nightdive Studios,53
Focus Entertainment,51
Artifex Mundi,51
Plug In Digital,50
Slitherine Ltd.,49
Xbox Game Studios,48
tinyBuild,47
Back To Basics Gaming,47
Strategy First,46
Activision,46
Nacon,45
Bethesda Softworks,44
Buka Entertainment,44
XSEED Games,42
Daedalic Entertainment,41
WhisperGames,40
Iceberg Interactive,39
Kalypso Media Digital,39
Lucasfilm,39
Warner Bros. Interactive Entertainment,38
Marvelous USA,38
Komodo,37
LucasArts,37
505 Games,36
Gamera Games,35
New Reality Games,35
Team17 Digital Ltd,34
Team17,34
Deep Silver,31
Idea Factory International,30
NIS America,30
Feral Interactive (Mac),30
Forever Entertainment S. A.,29
Capcom,29
MangaGamer,28
HIKARI FIELD,28
HandyGames,28
Rebellion,28
Raw Fury,28
Milestone S.r.l.,27
Curve Games,27
Aldorlea Games,27
Winged Cloud,27
Spike Chunsoft Co.,26
Humongous Entertainment,26
Good Shepherd Entertainment,26
Volens Nolens Games,26
Humble Games,26
CAPCOM Co.,26
Headup,25
Maple Whispering Limited,25
8Floor,24
Microids,24
Valve,24
Funbox Media Ltd,23
KISS ltd,23
Dear Villagers,22
Arc System Works,22
PopCap Games,22
Marvelous,22
GrabTheGames,22
Sometimes You,22
Jackbox Games,22
Alawar Entertainment,21
Senpai Studios,20
Annapurna Interactive,20
Konami Digital Entertainment,19
SakuraGame,19
Frontwing USA,18
Adult Swim Games,18
Topware Interactive,18
Mango Party,18
Assemble Entertainment,18
Bohemia Interactive,18
PQube,18
Fellow Traveller,17
Digital Tribe,17
Feral Interactive (Linux),17
KPL,17
Bandai Namco Entertainment,17
United Independent Entertainment,17
Critical Bliss,17
Codemasters,17
Neon Doctrine,17
Ultimate Games S.A.,17
astragon Entertainment,17
Warfare Studios,16
EGAMER,16
id Software,16
SNK CORPORATION,16
Aerosoft GmbH,16
Lovely Games,16
Ziggurat,16
EnsenaSoft,16
Armor Games Studios,16
Retroism,16
Asmodee Digital,16
Akupara Games,15
Excalibur Publishing,15
Wales Interactive,15
Stardock Entertainment,15
Goblinz Publishing,15
CI Games,15
Double Fine Productions,14
Jetdogs Studios,14
Versus Evil,14
PID Games,14
Merge Games,14
Modus Games,14
Warner Bros. Games,14
Prime Matter,14
Digerati,14
Atari,13
Winter Wolves,13
Chilla's Art,13
OTAKU Plan,13
Rockstar Games,13
NekoNyan Ltd.,13
SOFTSTAR ENTERTAINMENT,13
HypeTrain Digital,13
PlayStation PC LLC,13
Gearbox Publishing,13
Phoenix Online Publishing,13
Telltale,13
11 bit studios,13
indienova,13
Wadjet Eye Games,13
Surefire.Games,12
Meridian4,12
IndieArk,12
Viva Media,12
Kalypso Media,12
MumboJumbo,12
Frogwares,12
Spiderweb Software,12
Green Man Gaming Publishing,12
Toplitz Productions,12
Klei Entertainment,12
2P Games,12
D3PUBLISHER,12
PlayMeow Games,11
Positech Games,11
Coffee Stain Publishing,11
Dharker Studios Ltd,11
Ravenscourt,11
DANGEN Entertainment,11
Ripknot Systems,10
Cristian Manolachi,10
Skybound Games,10
Chucklefish,10
DLsite,10
INDIECN,10
Thunderful Publishing,10
Deck13,10
Aspyr (Mac),10
Funcom,10
Freedom Games,10
Serenity Forge,10
Frontier Developments,10
DSGame,10
Games Operators,10
Movie Games S.A.,10
Arcen Games,10
Atomic Fabrik,10
Rising Star Games,10
Might and Delight,9
Epic Games,9
Zachtronics,9
Inc,9
