tags,count
Singleplayer,7063
Indie,7041
Action,5856
Adventure,5604
Casual,3775
Strategy,3221
Simulation,2974
RPG,2974
Atmospheric,2880
2D,2875
Multiplayer,2718
Story Rich,2563
Great Soundtrack,2369
Puzzle,2066
First-Person,1754
Anime,1710
Open World,1679
Funny,1672
Fantasy,1651
Female Protagonist,1570
Co-op,1559
Difficult,1541
Sci-fi,1528
Pixel Graphics,1510
Exploration,1486
Shooter,1470
Early Access,1456
Horror,1443
Cute,1382
Sandbox,1248
Platformer,1231
Third Person,1144
Retro,1136
Survival,1114
Arcade,1107
Colorful,1091
Comedy,1086
3D,1066
Family Friendly,1047
FPS,1012
Gore,977
Violent,935
Management,891
Nudity,876
Visual Novel,868
Sexual Content,861
Psychological Horror,852
Turn-Based,840
Building,838
Classic,828
Online Co-Op,815
Point & Click,801
Controller,792
Choices Matter,768
Tactical,763
Realistic,758
Rogue-like,754
Mystery,749
Action-Adventure,722
Local Multiplayer,710
Space,709
Relaxing,707
Dark,682
Local Co-Op,677
Action RPG,675
Character Customization,656
Rogue-lite,655
Turn-Based Strategy,655
Top-Down,648
Replay Value,631
Physics,625
VR,602
Crafting,596
Multiple Endings,588
Hack and Slash,582
JRPG,582
Historical,574
PvP,572
Side Scroller,563
RTS,550
Procedural Generation,537
Base-Building,526
Stylized,525
Isometric,505
Sports,504
War,503
Turn-Based Combat,496
Mature,491
Resource Management,491
Racing,480
Survival Horror,479
Cartoony,458
Stealth,447
Economy,425
Turn-Based Tactics,421
Dungeon Crawler,421
Zombies,421
Post-apocalyptic,420
Combat,419
Shoot 'Em Up,417
Memes,415
Medieval,408
Dark Fantasy,404
Puzzle-Platformer,400
Magic,394
Moddable,387
Fast-Paced,383
Dating Sim,383
Action Roguelike,379
Military,377
Short,373
City Builder,369
Walking Simulator,363
Romance,361
Hand-drawn,360
Bullet Hell,356
Old School,347
Surreal,343
Futuristic,341
Third-Person Shooter,329
1990's,315
Immersive Sim,314
4 Player Local,313
Minimalist,313
Drama,309
Detective,297
Cyberpunk,297
Driving,297
Tower Defense,297
RPGMaker,296
Fighting,295
PvE,294
Metroidvania,283
Interactive Fiction,282
Hentai,281
Choose Your Own Adventure,281
3D Platformer,277
Competitive,272
Dark Humor,271
Cartoon,271
Robots,266
Perma Death,264
Aliens,261
2.5D,260
Beat 'em up,259
Hidden Object,251
2D Platformer,251
Board Game,247
Strategy RPG,244
Card Game,242
Automobile Sim,241
LGBTQ+,237
Tactical RPG,236
Grand Strategy,232
Music,231
Emotional,229
Cinematic,228
Level Editor,226
VR Only,226
Top-Down Shooter,225
Loot,223
Team-Based,222
World War II,221
Education,221
